date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,greatest losses direction,vehicles and fuel tanks,cruise missiles
3/28/2022,33,123,127,586,1694,302,95,1150,73,66,7,54,21,4,,,
3/29/2022,34,127,129,597,1710,303,96,1178,73,71,7,54,21,4,,,
3/30/2022,35,131,131,605,1723,305,96,1184,75,81,7,54,21,4,,,
3/31/2022,36,135,131,614,1735,311,96,1201,75,83,7,54,22,4,,,
4/1/2022,37,143,131,625,1751,316,96,1220,76,85,7,54,24,4,,,
4/2/2022,38,143,134,631,1776,317,100,1236,76,87,7,54,24,4,,,
4/3/2022,39,143,134,644,1830,325,105,1249,76,89,7,54,24,4,,,
4/4/2022,40,147,134,647,1844,330,107,1273,76,91,7,54,25,4,,,
4/5/2022,41,150,134,676,1858,332,107,1322,76,94,7,55,25,4,,,
4/6/2022,42,150,135,684,1861,332,107,1324,76,96,7,55,25,4,,,
4/7/2022,43,150,135,698,1891,332,108,1358,76,111,7,55,25,4,,,
4/8/2022,44,150,135,700,1891,333,108,1361,76,112,7,55,25,4,,,
4/9/2022,45,151,136,705,1895,335,108,1363,76,112,7,55,25,4,,,
4/10/2022,46,152,137,722,1911,342,108,1384,76,112,7,55,25,4,,,
4/11/2022,47,154,137,725,1923,347,111,1387,76,119,7,55,25,4,,,
4/12/2022,48,157,140,732,1946,349,111,1406,76,124,7,63,25,4,,,
4/13/2022,49,158,143,739,1964,358,115,1429,76,132,7,64,25,4,,,
4/14/2022,50,160,144,753,1968,366,122,1437,76,134,7,64,25,4,,,
4/15/2022,51,163,144,756,1976,366,122,1443,76,135,8,66,25,4,,,
4/16/2022,52,163,145,762,1982,371,125,1458,76,138,8,66,26,4,,,
4/17/2022,53,165,146,773,2002,376,127,1471,76,148,8,66,27,4,,,
4/18/2022,54,167,147,790,2041,381,130,1487,76,155,8,67,27,4,,,
4/19/2022,55,169,150,802,2063,386,132,1495,76,158,8,67,27,4,,,
4/20/2022,56,171,150,815,2087,391,136,1504,76,165,8,67,27,4,,,
4/21/2022,57,172,151,829,2118,393,136,1508,76,166,8,67,27,4,,,
4/22/2022,58,176,153,838,2162,397,138,1523,76,172,8,69,27,4,,,
4/23/2022,59,177,154,854,2205,403,143,1543,76,182,8,69,27,4,,,
4/24/2022,60,179,154,873,2238,408,147,1557,76,191,8,69,28,4,,,
4/25/2022,61,181,154,884,2258,411,149,1566,76,201,8,69,28,4,Sievierodonetsk,,
4/26/2022,62,184,154,918,2308,416,149,1643,76,205,8,69,31,4,Sievierodonetsk,,
4/27/2022,63,185,155,939,2342,421,149,1666,76,207,8,71,31,4,Kurakhove and Izyum,,
4/28/2022,64,187,155,970,2389,431,151,1688,76,215,8,72,31,4,Zaporizhzhia and Izyum,,
4/29/2022,65,189,155,986,2418,435,151,1695,76,229,8,73,31,4,Izyum,,
4/30/2022,66,190,155,1008,2445,436,151,1701,76,232,8,77,32,4,Izyum,,
5/1/2022,67,192,155,1026,2471,451,151,,,245,8,80,32,,Izyum,1796,84
5/2/2022,68,194,155,1048,2519,459,152,,,271,8,80,38,,Izyum,1824,84
5/3/2022,69,194,155,1062,2567,475,162,,,291,10,80,38,,Izyum,1843,84
5/4/2022,70,194,155,1077,2610,491,163,,,303,10,81,38,,"Izyum, Novopavlivsk",1867,87
5/5/2022,71,196,155,1092,2651,499,169,,,312,10,83,38,,Popasna,1907,89
5/6/2022,72,199,155,1110,2686,502,171,,,324,11,83,38,,Lyman and Kurakhove,1926,90
5/7/2022,73,199,155,1122,2713,509,172,,,341,11,84,38,,Slobozhanskyi,1934,90
5/8/2022,74,199,156,1130,2741,509,179,,,360,12,86,39,,Novopavlivsk,1961,92
5/9/2022,75,199,158,1145,2764,513,185,,,377,12,87,41,,Avdiivka,1970,94
5/10/2022,76,199,158,1170,2808,519,185,,,380,12,87,41,,Avdiivka,1980,94
5/11/2022,77,199,160,1187,2856,528,185,,,390,12,87,41,,"Novopavlivsk, Kurakhove and Sievierodonetsk",1997,94
5/12/2022,78,199,161,1195,2873,534,191,,,398,13,87,41,,Kurakhove,2019,94
5/13/2022,79,200,162,1205,2900,542,193,,,405,13,88,41,,Kurakhove,2042,95
5/14/2022,80,200,163,1218,2934,551,195,,,411,13,88,42,,Kurakhove,2059,95
5/15/2022,81,200,164,1220,2958,555,195,,,416,13,89,42,,Kurakhove and Avdiivka,2087,95
5/16/2022,82,200,165,1228,2974,577,195,,,427,13,89,42,,Bakhmut and Zaporizhzhia,2101,97
5/17/2022,83,201,167,1235,3009,578,198,,,436,13,90,43,,Lyman and Zaporizhzhia,2109,97
5/18/2022,84,202,167,1251,3043,586,199,,,441,13,91,43,,"Sloviansk, Kryvyi Rih and Zaporizhzhia",2137,102
5/19/2022,85,203,167,1254,3063,595,199,,,455,13,93,43,,"Sloviansk, Kryvyi Rih and Zaporizhzhia",2157,103
5/20/2022,86,204,168,1263,3090,596,200,,,460,13,93,43,,Bakhmut,2162,103
5/21/2022,87,204,169,1278,3116,596,201,,,462,13,93,43,,Bakhmut,2178,104
5/22/2022,88,204,170,1285,3141,599,201,,,470,13,93,43,,Bakhmut,2194,107
5/23/2022,89,204,170,1293,3166,604,201,,,476,13,93,43,,Bakhmut,2206,110
5/24/2022,90,205,170,1302,3194,606,201,,,480,13,93,43,,Sievierodonetsk,2213,112
5/25/2022,91,206,170,1305,3213,606,201,,,491,13,93,44,,Lyman,2217,112
5/26/2022,92,206,170,1315,3235,617,201,,,502,13,93,47,,Avdiivka,2225,114
5/27/2022,93,206,170,1322,3246,623,201,,,503,13,93,48,,Avdiivka,2226,115
5/28/2022,94,207,174,1330,3258,628,203,,,503,13,93,48,,Avdiivka and Kryvyi Rih,2226,116
5/29/2022,95,207,174,1338,3270,631,203,,,504,13,93,48,,Bakhmut,2240,116
5/30/2022,96,207,174,1349,3282,643,205,,,507,13,93,48,,Zaporizhzhia,2258,118
5/31/2022,97,208,174,1358,3302,649,207,,,515,13,93,48,,Kryvyi Rih and Zaporizhzhia,2275,120
6/1/2022,98,208,175,1361,3343,659,207,,,519,13,94,49,,Kryvyi Rih and Bakhmut,2290,120
6/2/2022,99,210,175,1363,3354,661,207,,,521,13,95,51,,Bakhmut,2325,120
6/3/2022,100,210,175,1367,3366,675,207,,,535,13,95,51,,Bakhmut,2329,121
6/4/2022,101,210,175,1376,3379,680,207,,,540,13,95,52,,Zaporizhzhia,2337,122
6/5/2022,102,210,175,1381,3392,686,207,,,548,13,95,53,,Bakhmut,2360,122
6/6/2022,103,211,176,1386,3400,690,207,,,551,13,96,53,,Sloviansk,2395,125
6/7/2022,104,212,177,1390,3416,694,207,,,553,13,96,53,,Sloviansk,2405,125
6/8/2022,105,212,178,1393,3429,703,213,,,559,13,96,53,,Sloviansk,2406,125
6/9/2022,106,212,178,1398,3438,711,213,,,562,13,96,53,,Bakhmut,2421,125
6/10/2022,107,212,178,1409,3450,712,222,,,572,13,97,54,,Kharkiv and Bakhmut,2438,125
6/11/2022,108,212,178,1419,3466,712,222,,,579,13,97,54,,Sievierodonetsk and Bakhmut,2448,125
6/12/2022,109,212,178,1430,3484,715,226,,,582,13,97,54,,Sievierodonetsk and Bakhmut,2455,125
6/13/2022,110,213,178,1432,3492,718,226,,,585,13,97,54,,Bakhmut,2460,125
6/14/2022,111,213,179,1434,3503,721,229,,,588,13,97,54,,Bakhmut,2473,125
6/15/2022,112,213,179,1440,3528,722,230,,,591,13,97,55,,Bakhmut and Sievierodonetsk,2485,129
6/16/2022,113,213,179,1449,3545,729,233,,,591,13,97,55,,Bakhmut,2494,129
6/17/2022,114,215,180,1456,3563,734,233,,,593,13,97,55,,Bakhmut,2496,129
6/18/2022,115,216,180,1465,3573,739,233,,,594,14,98,55,,"Sloviansk, Bakhmut and Kryvyi Rih",2513,129
6/19/2022,116,216,181,1468,3577,745,235,,,598,14,98,55,,Bakhmut and Zaporizhzhia,2523,130
6/20/2022,117,216,181,1477,3588,749,238,,,601,14,98,55,,Bakhmut and Zaporizhzhia,2527,130
6/21/2022,118,216,181,1496,3606,752,239,,,611,14,98,59,,Bakhmut and Avdiivka,2537,137
6/22/2022,119,216,182,1496,3614,752,239,,,614,14,99,60,,"Sloviansk, Bakhmut and Avdiivka",2543,137
6/23/2022,120,216,183,1504,3632,756,240,,,620,14,99,60,,Bakhmut,2548,137
6/24/2022,121,216,183,1507,3637,759,241,,,622,14,99,60,,Sloviansk and Bakhmut,2553,137
6/25/2022,122,217,184,1511,3645,764,241,,,626,14,99,60,,Bakhmut and Kurakhove,2560,137
6/26/2022,123,217,184,1532,3659,764,243,,,630,14,99,60,,Bakhmut and Kurakhove,2564,139
6/27/2022,124,217,184,1552,3687,771,243,,,636,14,101,60,,Bakhmut and Kurakhove,2575,139
6/28/2022,125,217,185,1567,3704,778,243,,,636,14,102,61,,Bakhmut,2589,139
6/29/2022,126,217,185,1572,3720,781,246,,,640,14,103,61,,Bakhmut,2598,142
6/30/2022,127,217,185,1573,3726,790,246,,,641,14,104,61,,Bakhmut,2602,143
7/1/2022,128,217,186,1577,3736,796,246,,,645,15,105,61,,Bakhmut,2610,143
7/2/2022,129,217,186,1582,3737,800,246,,,653,15,105,61,,Bakhmut,2614,144
7/3/2022,130,217,187,1584,3744,801,246,,,654,15,105,64,,Kramatorsk and Bakhmut,2618,144
7/4/2022,131,217,187,1589,3744,804,246,,,658,15,105,65,,Sloviansk and Donetsk,2629,144
7/5/2022,132,217,187,1594,3772,806,247,,,660,15,105,65,,Sloviansk and Donetsk,2634,144
7/6/2022,133,217,187,1600,3789,806,247,,,664,15,107,65,,Sloviansk and Donetsk,2648,153
7/7/2022,134,217,187,1602,3797,815,247,,,667,15,107,66,,Avdiivka and Bakhmut,2665,155
7/8/2022,135,217,187,1637,3811,828,247,,,669,15,107,66,,Kramatorsk,2685,155
7/9/2022,136,217,187,1638,3815,832,247,,,674,15,108,66,,Kramatorsk,2687,155
7/10/2022,137,217,188,1641,3823,834,247,,,676,15,108,66,,Kramatorsk,2694,155
7/11/2022,138,217,188,1645,3828,838,247,,,676,15,109,66,,Avdiivka,2696,155
7/12/2022,139,217,188,1649,3829,838,247,,,676,15,109,66,,Mykolaiv,2699,155
7/13/2022,140,217,188,1649,3832,839,247,,,678,15,109,67,,Mykolaiv,2704,155
7/14/2022,141,219,188,1667,3832,840,247,,,681,15,109,67,,Kramatorsk,2720,155
7/15/2022,142,220,188,1672,3866,842,247,,,681,15,109,67,,Kramatorsk,2731,155
7/16/2022,143,220,188,1677,3874,846,247,,,687,15,109,68,,Bakhmut,2735,162
7/17/2022,144,220,188,1684,3879,846,248,,,688,15,110,68,,Bakhmut,2746,166
7/18/2022,145,220,188,1687,3886,849,248,,,690,15,113,70,,Bakhmut,2753,166
7/19/2022,146,220,188,1691,3892,851,248,,,693,15,113,70,,Kramatorsk,2767,167
7/20/2022,147,221,188,1700,3905,856,250,,,703,15,113,70,,Bakhmut,2775,167
7/21/2022,148,221,188,1704,3912,859,251,,,710,15,113,72,,Sloviansk,2781,167
7/22/2022,149,221,188,1704,3920,863,251,,,713,15,113,72,,Kryvyi Rih and Bakhmut,2803,167
7/23/2022,150,221,188,1708,3929,864,253,,,714,15,113,72,,"Kramatorsk, Kryvyi Rih and Bakhmut",2820,167
7/24/2022,151,221,188,1722,3942,869,255,,,714,15,113,73,,Kramatorsk,2823,170
7/25/2022,152,222,188,1730,3950,876,257,,,719,15,116,73,,Kramatorsk,2832,174
7/26/2022,153,222,189,1737,3959,880,258,,,722,15,117,75,,Bakhmut,2835,174
7/27/2022,154,222,190,1738,3971,883,258,,,726,15,117,75,,Kryvyi Rih,2847,174
7/28/2022,155,222,190,1742,3979,894,258,,,729,15,117,75,,Kryvyi Rih,2854,174
7/29/2022,156,222,190,1749,3987,900,258,,,731,15,117,77,,Kryvyi Rih,2870,174
7/30/2022,157,222,190,1759,3995,906,258,,,733,15,117,78,,Donetsk,2889,174
7/31/2022,158,223,190,1763,4004,916,259,,,735,15,117,80,,Donetsk,2902,174
8/1/2022,159,223,190,1768,4011,932,259,,,736,15,117,82,,Donetsk and Kryvyi Rih,2912,174
8/2/2022,160,223,191,1768,4014,936,259,,,739,15,117,82,,Bakhmut and Kryvyi Rih,2914,174
8/3/2022,161,223,191,1774,4022,939,259,,,740,15,118,83,,Bakhmut and Donetsk,2922,180
8/4/2022,162,223,191,1789,4026,946,260,,,742,15,118,83,,Bakhmut and Donetsk,2960,182
8/5/2022,163,223,191,1792,4032,950,260,,,742,15,123,83,,Donetsk,2964,182
8/6/2022,164,223,191,1802,4051,955,260,,,744,15,127,85,,Donetsk,2970,182
8/7/2022,165,223,191,1805,4055,958,260,,,750,15,132,86,,Donetsk,2978,182
8/8/2022,166,223,192,1811,4070,960,261,,,754,15,132,86,,Donetsk,2993,182
8/9/2022,167,223,193,1817,4076,964,261,,,757,15,133,87,,Bakhmut and Donetsk,2998,185
8/10/2022,168,232,193,1832,4086,971,261,,,766,15,133,89,,Donetsk,3005,185
8/11/2022,169,232,193,1846,4100,974,261,,,772,15,134,90,,Donetsk,3018,185
8/12/2022,170,233,193,1849,4108,975,261,,,778,15,136,90,,Donetsk,3021,185
8/13/2022,171,233,193,1856,4115,978,261,,,779,15,136,91,,Bakhmut and Kryvyi Rih,3036,187
8/14/2022,172,233,194,1864,4126,980,261,,,784,15,136,91,,Donetsk,3039,187
8/15/2022,173,233,195,1876,4141,985,261,,,787,15,136,92,,Donetsk,3044,187
8/16/2022,174,233,196,1880,4152,989,263,,,790,15,136,92,,Donetsk,3049,190
8/17/2022,175,233,196,1886,4162,993,263,,,792,15,136,93,,Kharkiv and Donetsk,3054,190
8/18/2022,176,234,197,1889,4179,1010,265,,,793,15,136,93,,Donetsk,3061,190
8/19/2022,177,234,197,1899,4195,1016,266,,,795,15,141,94,,Donetsk,3130,190
8/20/2022,178,234,197,1907,4212,1018,266,,,803,15,141,97,,Donetsk,3137,190
8/21/2022,179,234,197,1912,4224,1028,266,,,806,15,141,99,,Donetsk and Mykolaiv,3143,190
8/22/2022,180,234,198,1919,4230,1032,266,,,815,15,145,99,,Donetsk,3149,194
8/23/2022,181,234,198,1921,4238,1033,266,,,817,15,146,99,,Donetsk,3150,196
8/24/2022,182,234,199,1924,4243,1036,266,,,819,15,147,99,,Donetsk,3160,196
8/25/2022,183,234,202,1929,4245,1037,272,,,828,15,148,99,,Donetsk,3160,196
8/26/2022,184,234,202,1936,4251,1040,272,,,834,15,148,99,,Donetsk,3162,196
8/27/2022,185,234,202,1939,4254,1045,274,,,836,15,148,99,,Donetsk,3165,196
8/28/2022,186,234,202,1942,4257,1050,274,,,838,15,148,99,,Donetsk,3171,196
8/29/2022,187,234,203,1947,4269,1060,279,,,844,15,149,101,,Donetsk,3188,196
8/30/2022,188,234,204,1954,4294,1079,282,,,847,15,151,103,,Donetsk and Kurakhove,3217,196
8/31/2022,189,234,204,1974,4312,1091,285,,,849,15,152,103,,Donetsk and Kurakhove,3236,196
9/1/2022,190,234,205,1997,4345,1115,287,,,851,15,153,104,,Donetsk and Kurakhove,3239,196
9/2/2022,191,234,205,2009,4366,1126,289,,,853,15,153,105,,Donetsk and Kurakhove,3247,198
9/3/2022,192,235,205,2034,4403,1134,293,,,864,15,153,105,,Donetsk and Kryvyi Rih,3268,203
9/4/2022,193,236,206,2049,4430,1147,294,,,864,15,156,106,,Donetsk and Kryvyi Rih,3276,203
9/5/2022,194,236,206,2068,4459,1157,294,,,867,15,156,107,,Donetsk,3286,205
9/6/2022,195,236,207,2077,4484,1179,296,,,876,15,156,109,,Donetsk,3305,209
9/7/2022,196,237,208,2097,4520,1194,300,,,880,15,156,109,,Donetsk,3320,214
9/8/2022,197,239,210,2112,4557,1226,305,,,884,15,159,110,,Donetsk,3344,214
9/9/2022,198,239,211,2122,4575,1237,306,,,888,15,159,114,,Kharkiv and Donetsk,3399,214
9/10/2022,199,239,212,2136,4584,1259,311,,,898,15,162,116,,Kharkiv and Donetsk,3426,215
9/11/2022,200,242,213,2154,4617,1263,311,,,902,15,162,117,,Kharkiv and Donetsk,3445,216
9/12/2022,201,243,213,2169,4640,1263,311,,,903,15,162,117,,Kryvyi Rih and Donetsk,3463,216
9/13/2022,202,244,213,2175,4662,1279,311,,,904,15,165,117,,Kharkiv and Donetsk,3469,233
9/14/2022,203,246,215,2180,4665,1290,311,,,908,15,167,120,,Kharkiv and Donetsk,3501,233
9/15/2022,204,250,215,2193,4682,1295,311,,,908,15,167,120,,Kryvyi Rih and Mykolaiv,3522,233
9/16/2022,205,250,216,2199,4690,1302,312,,,908,15,168,121,,Bakhmut and Donetsk,3550,233
9/17/2022,206,251,216,2202,4701,1306,312,,,911,15,168,121,,,3571,236
9/18/2022,207,251,217,2210,4718,1309,312,,,918,15,168,122,,,3578,238
9/19/2022,208,251,217,2212,4720,1313,312,,,920,15,168,125,,,3581,238
9/20/2022,209,252,217,2216,4724,1323,318,,,925,15,168,125,,Bakhmut and Donetsk,3587,239
9/21/2022,210,253,217,2227,4748,1340,318,,,932,15,168,125,,Donetsk,3610,239
9/22/2022,211,253,218,2236,4776,1341,318,,,941,15,169,125,,Kramatorsk and Donetsk,3630,240
9/23/2022,212,254,219,2254,4796,1355,326,,,950,15,170,126,,Kramatorsk and Donetsk,3659,240
9/24/2022,213,255,220,2262,4807,1361,327,,,956,15,170,126,,Kramatorsk and Donetsk,3681,240
9/25/2022,214,259,220,2275,4832,1368,328,,,966,15,171,130,,Kramatorsk and Donetsk,3701,241
9/26/2022,215,260,224,2290,4857,1369,330,,,970,15,172,131,,Kramatorsk and Donetsk,3711,241
9/27/2022,216,261,224,2306,4881,1378,331,,,977,15,175,131,,Kramatorsk and Donetsk,3730,241
9/28/2022,217,262,224,2312,4889,1381,331,,,989,15,175,131,,Kramatorsk and Donetsk,3742,242
9/29/2022,218,262,224,2325,4909,1385,331,,,995,15,175,131,,Kramatorsk and Donetsk,3751,246
9/30/2022,219,264,225,2338,4932,1391,333,,,1003,15,176,131,,Kramatorsk and Donetsk,3768,246
10/1/2022,220,264,226,2354,4949,1397,336,,,1009,15,176,131,,Kramatorsk and Bakhmut,3786,246
10/2/2022,221,264,227,2377,4975,1405,337,,,1015,15,176,131,,Kramatorsk and Bakhmut,3796,246
10/3/2022,222,265,228,2380,4991,1405,338,,,1026,15,176,131,,Kramatorsk and Bakhmut,3811,246
10/4/2022,223,266,228,2424,5018,1407,340,,,1028,15,177,131,,Kramatorsk and Kryvyi Rih,3823,246
10/5/2022,224,266,232,2435,5038,1414,341,,,1032,15,177,132,,Kramatorsk and Kryvyi Rih,3841,246
10/6/2022,225,266,232,2449,5064,1424,344,,,1047,15,177,134,,"Kramatorsk, Avdiivka and Kryvyi Rih",3854,246
10/7/2022,226,266,233,2466,5093,1455,344,,,1067,15,177,135,,Kramatorsk and Kryvyi Rih,3862,246
10/8/2022,227,266,234,2472,5111,1459,345,,,1079,15,180,136,,"Donetsk, Bakhmut and Kramatorsk",3875,246
10/9/2022,228,266,235,2486,5133,1477,348,,,1086,15,180,136,,,3890,247
10/10/2022,229,267,235,2495,5149,1486,353,,,1097,15,181,136,,Kryvyi Rih and Kramatorsk,3908,249
10/11/2022,230,268,235,2504,5162,1496,353,,,1114,15,181,136,,"Bakhmut, Avdiivka and Kramatorsk",3916,295
10/12/2022,231,268,235,2505,5181,1507,355,,,1129,15,182,136,,Bakhmut and Avdiivka,3927,315
10/13/2022,232,268,240,2511,5167,1556,357,,,1182,16,183,140,,Kramatorsk and Kryvyi Rih,3935,316
10/14/2022,233,268,240,2521,5172,1566,362,,,1199,16,186,142,,Kramatorsk and Bakhmut,3944,316
10/15/2022,234,268,242,2524,5179,1582,365,,,1210,16,186,142,,,3951,316
10/16/2022,235,268,242,2529,5193,1589,365,,,1224,16,186,143,,Kryvyi Rih and Bakhmut,3959,316
10/17/2022,236,268,242,2537,5205,1599,366,,,1241,16,187,144,,Bakhmut and Avdiivka,3969,316
10/18/2022,237,268,242,2548,5219,1622,372,,,1276,16,188,144,,,3985,318
10/19/2022,238,269,242,2554,5235,1637,372,,,1286,16,189,146,,Bakhmut and Kramatorsk,3999,323
10/20/2022,239,269,243,2567,5255,1646,372,,,1311,16,189,147,,,4005,329
10/21/2022,240,269,243,2573,5258,1648,372,,,1325,16,189,147,,,4006,329
10/22/2022,241,270,243,2579,5266,1653,373,,,1341,16,189,148,,,4021,329
10/23/2022,242,270,245,2584,5284,1667,374,,,1361,16,189,148,,,4039,350
10/24/2022,243,270,245,2590,5295,1673,375,,,1370,16,189,149,,,4044,350
10/25/2022,244,271,248,2611,5321,1674,377,,,1372,16,190,149,,,4054,350
10/26/2022,245,271,248,2628,5351,1686,379,,,1379,16,192,149,,,4076,350
10/27/2022,246,271,249,2631,5364,1690,379,,,1398,16,192,150,,,4078,351
10/28/2022,247,272,251,2640,5378,1698,379,,,1401,16,192,151,,,4088,351
10/29/2022,248,273,252,2659,5401,1708,380,,,1406,16,195,152,,,4107,351
10/30/2022,249,274,252,2672,5453,1724,383,,,1412,16,197,154,,Donetsk and Lyman,4120,352
10/31/2022,250,275,253,2686,5485,1728,383,,,1413,16,197,154,,Avdiivka and Lyman,4128,352
11/1/2022,251,276,257,2698,5501,1730,383,,,1415,16,197,154,,Avdiivka and Bakhmut,4143,397
11/2/2022,252,277,258,2714,5525,1733,387,,,1438,16,198,154,,Avdiivka and Lyman,4153,397
11/3/2022,253,277,258,2734,5552,1755,390,,,1442,16,198,155,,,4162,397
11/4/2022,254,277,258,2750,5580,1772,391,,,1450,16,201,155,,Lyman and Avdiivka,4174,397
11/5/2022,255,277,260,2758,5601,1776,391,,,1462,16,202,155,,Lyman and Avdiivka,4184,399
11/6/2022,256,277,260,2765,5611,1781,391,,,1465,16,202,155,,Lyman and Avdiivka,4191,399
11/7/2022,257,277,260,2771,5630,1782,391,,,1472,16,202,157,,"Lyman, Bakhmut and Avdiivka",4199,399
11/8/2022,258,278,260,2786,5654,1791,391,,,1476,16,203,159,,Bakhmut and Avdiivka,4216,399
11/9/2022,259,278,260,2801,5666,1802,393,,,1483,16,205,159,,Bakhmut and Avdiivka,4227,399
11/10/2022,260,278,260,2804,5682,1805,393,,,1499,16,205,159,,Lyman and Avdiivka,4242,399
11/11/2022,261,278,261,2814,5696,1817,393,,,1505,16,205,159,,Bakhmut,4259,399
11/12/2022,262,278,261,2838,5730,1829,393,,,1506,16,205,160,,,4279,399
11/13/2022,263,278,261,2840,5742,1837,393,,,1507,16,206,160,,,4295,399
11/14/2022,264,278,261,2848,5748,1839,393,,,1509,16,206,160,,,4316,399
11/15/2022,265,278,261,2861,5773,1850,393,,,1511,16,208,160,,,4351,399
11/16/2022,266,278,261,2871,5797,1860,393,,,1525,16,209,160,,"Lyman, Avdiivka and Bakhmut",4360,474
11/17/2022,267,278,261,2878,5804,1860,393,,,1531,16,209,160,,,4362,474
11/18/2022,268,278,261,2879,5808,1865,393,,,1536,16,209,161,,Lyman and Avdiivka,4366,480
11/19/2022,269,278,261,2885,5815,1867,393,,,1536,16,209,161,,,4368,480
11/20/2022,270,278,261,2886,5817,1868,393,,,1537,16,209,161,,,4371,480
11/21/2022,271,278,261,2892,5822,1870,393,,,1537,16,209,161,,,4378,480
11/22/2022,272,278,261,2895,5827,1882,395,,,1537,16,209,161,,Bakhmut and Lyman,4393,480
11/23/2022,273,278,261,2897,5832,1887,395,,,1537,16,209,161,,"Avdiivka, Bakhmut and Lyman",4396,480
11/24/2022,274,278,261,2898,5837,1889,395,,,1547,16,209,161,,"Avdiivka, Bakhmut and Lyman",4400,531
11/25/2022,275,278,261,2899,5844,1895,395,,,1553,16,209,163,,Bakhmut and Lyman,4404,531
11/26/2022,276,278,261,2901,5848,1896,395,,,1554,16,209,163,,,4406,531
11/27/2022,277,278,261,2905,5856,1897,395,,,1555,16,209,163,,"Bakhmut, Lyman and Avdiivka",4412,531
11/28/2022,278,278,261,2908,5861,1899,395,,,1555,16,209,163,,,4416,531
11/29/2022,279,280,261,2911,5866,1901,395,,,1555,16,209,163,,,4423,531
11/30/2022,280,280,261,2914,5872,1902,395,,,1562,16,210,163,,,4429,531
12/1/2022,281,280,261,2915,5877,1904,395,,,1562,16,210,163,,,4441,531
12/2/2022,282,280,262,2916,5883,1905,395,,,1564,16,210,163,,Bakhmut and Avdiivka,4464,531
12/3/2022,283,280,263,2917,5886,1906,395,,,1572,16,210,163,,,4472,531
12/4/2022,284,281,263,2922,5892,1908,395,,,1573,16,210,163,,Bakhmut and Lyman,4479,531
12/5/2022,285,281,264,2924,5900,1914,395,,,1582,16,211,163,,Bakhmut and Lyman,4497,531
12/6/2022,286,281,264,2929,5905,1915,395,,,1587,16,211,163,,,4505,592
12/7/2022,287,281,264,2935,5909,1923,395,,,1601,16,211,163,,,4526,592
12/8/2022,288,281,264,2937,5911,1925,395,,,1603,16,211,164,,,4528,592
12/9/2022,289,281,264,2937,5912,1926,395,,,1603,16,211,164,,,4531,592
12/10/2022,290,281,264,2940,5917,1927,397,,,1603,16,211,167,,Bakhmut and Lyman,4535,592
12/11/2022,291,281,264,2942,5920,1928,397,,,1613,16,211,167,,,4540,592
12/12/2022,292,281,264,2966,5928,1929,397,,,1617,16,211,169,,,4544,592
